issue_id,topic_ngram
B7,incorrect
B7,default
B7,cron
B7,express
B7,snapshot
B7,repositori
B7,valid
B7,valu
B7,probabl
B7,releas
B4,default
B4,configur
B4,proxi
B4,central
B4,repo
B4,fail
B4,pre
B4,download
B4,polici
B4,test
B4,fix
B4,mrm-370
B4,rm
B4,-rf
B4,$
B4,m2_repo
B4,org
B4,apach
B4,maven
B4,plugin
B4,maven
B4,clean
B4,plugincd
B4,/path
B4,projectmvn
B4,cleani
B4,usual
B4,find
B4,valid
B4,version
B4,messag
B4,archiva
B4,log
B4,jvm
B4,|
B4,06:25:29,796
B4,socketlistener0
B4,info
B4,org.apache.maven.archiva.proxy.repositoryproxyconnector
B4,default
B4,fail
B4,pre
B4,download
B4,polici
B4,-c:\${appserver.home}\repositories\internal\org\apache\maven\plugins\maven
B4,clean
B4,plugin\maven
B4,metadata.xmlther
B4,whitelist
B4,pattern
B4,intern
B4,>
B4,central
B4,proxi
B4,connector
B4,ship
B4,configur
B4,actual
B4,make
B4,proxi
B4,add
B4,whitelist
B4,pattern
B4,work.should
B4,absenc
B4,whitelist
B4,pattern
B4,mean
B4,proxi
B5,mysql
B5,specifi
B5,key
B5,long
B5,max
B5,key
B5,length
B5,byte
B5,start
B5,archiva
B5,mysql
B5,databas
B5,follow
B5,error
B5,seen.{code}caus
B5,javax.jdo.jdodatastoreexcept
B5,except
B5,throw
B5,add
B5,valid
B5,class(
B5,specifi
B5,key
B5,long
B5,max
B5,key
B5,length
B5,bytescom.mysql.jdbc.exceptions.mysqlsyntaxerrorexcept
B5,specifi
B5,key
B5,long
B5,max
B5,key
B5,length
B5,byte
B5,com.mysql.jdbc.sqlerror.createsqlexception(sqlerror.java:936
B5,com.mysql.jdbc.mysqlio.checkerrorpacket(mysqlio.java:2870
B5,com.mysql.jdbc.mysqlio.sendcommand(mysqlio.java:1573
B5,com.mysql.jdbc.mysqlio.sqlquerydirect(mysqlio.java:1665
B5,com.mysql.jdbc.connection.execsql(connection.java:3170
B5,com.mysql.jdbc.connection.execsql(connection.java:3099
B5,com.mysql.jdbc.statement.execute(statement.java:695
B5,org.jpox.store.rdbms.table.abstracttable.executeddlstatement(abstracttable.java:614
B5,org.jpox.store.rdbms.table.abstracttable.executeddlstatementlist(abstracttable.java:570
B5,org.jpox.store.rdbms.table.abstracttable.create(abstracttable.java:297
B5,org.jpox.store.rdbms.table.abstracttable.exists(abstracttable.java:341
B5,org.jpox.store.rdbms.rdbmsmanager$classadder.performtablesvalidation(rdbmsmanager.java:3052
B5,org.jpox.store.rdbms.rdbmsmanager$classadder.addclasstablesandvalidate(rdbmsmanager.java:3313
B5,org.jpox.store.rdbms.rdbmsmanager$classadder.run(rdbmsmanager.java:2554
B5,org.jpox.store.rdbms.rdbmsmanager$mgmttransaction.execute(rdbmsmanager.java:2406
B5,org.jpox.store.rdbms.rdbmsmanager.addclasses(rdbmsmanager.java:821
B5,org.jpox.store.rdbms.rdbmsmanager.addclass(rdbmsmanager.java:835
B5,org.jpox.abstractpersistencemanager.newobjectidinstance(abstractpersistencemanager.java:2377
B5,org.apache.maven.archiva.database.jdo.jdoaccess.getobjectbyid(jdoaccess.java:428
B5,org.apache.maven.archiva.database.jdo.jdoaccess.getobjectbyid(jdoaccess.java:466
B5,org.apache.maven.archiva.database.jdo.jdorepositorydao.getrepository(jdorepositorydao.java:76
